ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,RA_DEG,DEC_DEG,SEMI_MAJ_ARCSEC,SEMI_MIN_ARCSEC
1,24d08m55.9s,15d48m7.9s,86,86,86,0,3,145,5.22,24.14886111111111,15.802194444444446,1.8027208676067363,1.8027208676067363
2,24d08m56.7s,15d48m2.9s,24,24,24,0,3,127,5.05,24.149083333333333,15.800805555555556,0.5030848932856008,0.5030848932856008
3,24d08m57.0s,15d48m9.0s,42,42,42,0,3,138,5.21,24.149166666666666,15.8025,0.8803985632498015,0.8803985632498015
4,24d08m58.0s,15d47m44.9s,25,25,25,0,3,101,4.54,24.149444444444445,15.795805555555555,0.5240467638391675,0.5240467638391675
5,24d08m58.2s,15d48m2.6s,24,24,24,0,3,114,4.98,24.1495,15.800722222222223,0.5030848932856008,0.5030848932856008
6,24d08m58.7s,15d47m41.2s,33,33,33,0,3,95,4.44,24.149638888888887,15.794777777777778,0.6917417282677011,0.6917417282677011
7,24d08m58.8s,15d47m50.6s,32,31,32,0,3,93,4.64,24.149666666666665,15.79738888888889,0.6707798577141344,0.6498179871605677
8,24d08m58.9s,15d47m39.8s,40,40,40,0,3,93,4.4,24.149694444444442,15.79438888888889,0.8384748221426681,0.8384748221426681
9,24d08m58.9s,15d48m9.0s,31,31,31,0,3,122,5.14,24.149694444444442,15.8025,0.6498179871605677,0.6498179871605677
10,24d08m59.3s,15d48m6.1s,209,171,196,0,3,112,5.04,24.149805555555556,15.801694444444445,4.38103094569544,3.584479864659906
11,24d08m59.7s,15d47m54.0s,35,35,35,0,3,88,4.69,24.149916666666666,15.798333333333334,0.7336654693748346,0.7336654693748346
12,24d09m0.4s,15d47m52.2s,163,93,139,20,3,80,4.62,24.15011111111111,15.797833333333333,3.4167849002313724,1.9494539614817032
13,24d09m0.4s,15d48m2.6s,50,50,50,0,3,95,4.9,24.15011111111111,15.800722222222223,1.048093527678335,1.048093527678335
14,24d09m0.8s,15d48m9.6s,37,37,37,0,3,107,5.09,24.150222222222222,15.802666666666667,0.7755892104819679,0.7755892104819679
15,24d09m1.1s,15d48m5.2s,30,30,30,0,3,95,4.95,24.150305555555555,15.801444444444446,0.628856116607001,0.628856116607001
16,24d09m1.5s,15d47m36.5s,29,29,29,0,3,70,4.23,24.150416666666665,15.793472222222222,0.6078942460534343,0.6078942460534343
17,24d09m2.3s,15d47m50.0s,19,18,19,0,3,63,4.49,24.15063888888889,15.797222222222222,0.3982755405177673,0.3773136699642006
18,24d09m2.4s,15d48m2.8s,31,31,31,0,3,79,4.83,24.150666666666666,15.800777777777778,0.6498179871605677,0.6498179871605677
19,24d09m2.6s,15d48m6.5s,24,24,24,0,3,85,4.93,24.15072222222222,15.801805555555557,0.5030848932856008,0.5030848932856008
20,24d09m3.0s,15d48m5.3s,37,37,37,0,3,79,4.88,24.15083333333333,15.801472222222223,0.7755892104819679,0.7755892104819679
21,24d09m3.0s,15d48m3.9s,31,31,31,0,3,78,4.84,24.15083333333333,15.801083333333334,0.6498179871605677,0.6498179871605677
22,24d09m3.5s,15d47m35.8s,23,23,23,0,3,53,4.13,24.150972222222222,15.793277777777778,0.4821230227320341,0.4821230227320341
23,24d09m3.9s,15d47m49.0s,27,24,26,0,3,50,4.41,24.151083333333332,15.796944444444444,0.565970504946301,0.5030848932856008
24,24d09m4.1s,15d48m6.5s,39,39,39,0,3,74,4.88,24.151138888888887,15.801805555555557,0.8175129515891013,0.8175129515891013
25,24d09m4.1s,15d47m33.1s,40,40,40,0,3,48,4.05,24.151138888888887,15.792527777777778,0.8384748221426681,0.8384748221426681
26,24d09m4.3s,15d48m11.1s,204,142,183,70,3,83,5.02,24.151194444444442,15.803083333333333,4.276221592927607,2.976585618606472
27,24d09m5.1s,15d47m31.7s,28,28,28,0,3,39,3.99,24.151416666666666,15.79213888888889,0.5869323754998677,0.5869323754998677
28,24d09m5.2s,15d48m5.1s,30,30,30,0,3,60,4.8,24.151444444444444,15.801416666666668,0.628856116607001,0.628856116607001
29,24d09m5.3s,15d47m25.7s,31,31,31,0,3,44,3.88,24.15147222222222,15.790472222222222,0.6498179871605677,0.6498179871605677
30,24d09m5.5s,15d48m6.4s,37,37,37,0,3,62,4.83,24.151527777777776,15.801777777777778,0.7755892104819679,0.7755892104819679
31,24d09m5.8s,15d47m32.4s,37,37,37,0,3,33,3.97,24.15161111111111,15.792333333333334,0.7755892104819679,0.7755892104819679
32,24d09m6.8s,15d47m19.7s,62,62,62,0,3,45,3.74,24.151888888888887,15.788805555555555,1.2996359743211354,1.2996359743211354
33,24d09m7.7s,15d48m7.4s,24,24,24,0,3,44,4.78,24.15213888888889,15.802055555555556,0.5030848932856008,0.5030848932856008
34,24d09m7.8s,15d48m9.3s,18,18,18,0,3,50,4.84,24.152166666666666,15.802583333333335,0.3773136699642006,0.3773136699642006
35,24d09m8.1s,15d47m21.7s,23,23,23,0,3,32,3.71,24.15225,15.789361111111111,0.4821230227320341,0.4821230227320341
36,24d09m8.1s,15d47m29.9s,42,42,42,0,3,20,3.82,24.15225,15.791638888888889,0.8803985632498015,0.8803985632498015
37,24d09m9.8s,15d48m4.7s,29,29,29,0,3,22,4.63,24.15272222222222,15.801305555555556,0.6078942460534343,0.6078942460534343
38,24d09m10.2s,15d47m15.8s,44,33,40,-80,3,22,3.55,24.152833333333334,15.787722222222222,0.9223223043569349,0.6917417282677011
39,24d09m10.5s,15d47m17.6s,36,34,35,-90,3,19,3.55,24.152916666666666,15.788222222222222,0.7546273399284013,0.7127035988212679
40,24d09m11.1s,15d48m9.1s,26,26,26,0,3,21,4.72,24.15308333333333,15.802527777777778,0.5450086343927342,0.5450086343927342
41,24d09m11.5s,15d48m5.4s,29,29,29,0,3,10,4.59,24.15319444444444,15.8015,0.6078942460534343,0.6078942460534343
42,24d09m11.8s,15d48m3.4s,24,24,24,0,3,1,4.51,24.153277777777777,15.800944444444445,0.5030848932856008,0.5030848932856008
43,24d09m12.3s,15d47m58.4s,32,32,32,0,3,-9,4.35,24.153416666666665,15.799555555555555,0.6707798577141344,0.6707798577141344
44,24d09m12.5s,15d48m12.1s,144,91,127,-60,3,23,4.78,24.15347222222222,15.803361111111112,3.018509359713605,1.9075302203745699
45,24d09m12.5s,15d48m4.8s,24,24,24,0,3,2,4.54,24.15347222222222,15.801333333333334,0.5030848932856008,0.5030848932856008
46,24d09m12.6s,15d48m3.0s,27,27,27,0,3,-6,4.48,24.153499999999998,15.800833333333333,0.565970504946301,0.565970504946301
47,24d09m12.8s,15d48m7.2s,17,17,17,0,3,6,4.61,24.153555555555553,15.802000000000001,0.35635179941063394,0.35635179941063394
